novela,ator,personagem
Cabocla - 2ª versão,Afrânio Gama,
Cabocla - 2ª versão,Aisha Jambo,Ritinha
Cabocla - 2ª versão,Alexandre David,
Cabocla - 2ª versão,Alexandre Rodrigues,Zaqueu
Cabocla - 2ª versão,André Vieira,Capanga que tocaia Neco (Danton Mello) e Tobias (Malvino Salvador)
Cabocla - 2ª versão,André Vieira,Capanga que tocaia Neco e Tobias
Cabocla - 2ª versão,Carolina Kasting,Mariquinha
Cabocla - 2ª versão,Chico Santana,
Cabocla - 2ª versão,Cláudio Gabriel,Onofre
Cabocla - 2ª versão,Cláudio Galvan,Chico da venda
Cabocla - 2ª versão,Cosme dos Santos,Nastácio
Cabocla - 2ª versão,Daniel de Oliveira,Luís Jerônimo
Cabocla - 2ª versão,Danton Mello,Neco
Cabocla - 2ª versão,Edyr Duqui,Maria
Cabocla - 2ª versão,Elena Toledo,Pepa
Cabocla - 2ª versão,Eriberto Leão,Tomé
Cabocla - 2ª versão,Fernando Petelinkar,“Seu” Xexéu
Cabocla - 2ª versão,Henrique César,Delegado André
Cabocla - 2ª versão,Jardel Mello,Coronel Olavo
Cabocla - 2ª versão,John Herbert,Vigário
Cabocla - 2ª versão,Jussara Freire,Siá Bina
Cabocla - 2ª versão,Malvino Salvador,Tobias
Cabocla - 2ª versão,Marcelo Capobianco,
Cabocla - 2ª versão,Marcelo Gonçalves,"Fernão, capataz de Justino (Mauro Mendonça)"
Cabocla - 2ª versão,Mareliz Rodrigues,Pequetita
Cabocla - 2ª versão,Maria Flor,Tina
Cabocla - 2ª versão,Mauro Mendonça,Coronel Justino
Cabocla - 2ª versão,Nizo Neto,Irineu
Cabocla - 2ª versão,Oscar Magrini,Capitão Macário
Cabocla - 2ª versão,Otávio Augusto,Zé da Estação
Cabocla - 2ª versão,Othon Bastos,Dr. Edmundo Esteves
Cabocla - 2ª versão,Patrícia Pillar,Emerenciana
Cabocla - 2ª versão,Paulo de Almeida,Tonho
Cabocla - 2ª versão,Paulo Vespúcio,Desidério
Cabocla - 2ª versão,Raphael Rodrigues,
Cabocla - 2ª versão,Raymundo de Souza,Jorge Adib
Cabocla - 2ª versão,Regiane Alves,Belinha
Cabocla - 2ª versão,Reginaldo Faria,Joaquim
Cabocla - 2ª versão,Renata di Carmo,Rute
Cabocla - 2ª versão,Roberta Rodrigues,Julieta
Cabocla - 2ª versão,Rogério Falabella,Dr. Telles
Cabocla - 2ª versão,Roselson Barros,
Cabocla - 2ª versão,Sebastião Vasconcelos,Felício
Cabocla - 2ª versão,Tony Ramos,Coronel Boanerges
Cabocla - 2ª versão,Umberto Magnani,Chico Bento
Cabocla - 2ª versão,Vanessa Gerbelli,Rosa
Cabocla - 2ª versão,Vanessa Giácomo,Zuca
Cabocla - 2ª versão,Vera Holtz,Generosa
Cabocla - 2ª versão,Vitor Hugo,"Tião, capanga de Justino (Mauro Mendonça)"
Cama de Gato,Agnaldo Lopes,João
Cama de Gato,Ailton Graça,Tião
Cama de Gato,Alex Moreno,Luck
Cama de Gato,Ana Berttines,Cleusa
Cama de Gato,Ana Cecília,Leda de Lucca
Cama de Gato,André Luiz Miranda,Juvenal
Cama de Gato,Ângelo Antônio,David
Cama de Gato,Antônio Pitanga,Miguel
Cama de Gato,Aramis Trindade,dr. Emanoel
Cama de Gato,Berta Loran,Loló
Cama de Gato,Beta Perez,Lurdes
Cama de Gato,Bia Arantes,Duda
Cama de Gato,Bianca Salgueiro,Eurídice
Cama de Gato,Camila Pitanga,Rose
Cama de Gato,Carmo Dalla Vecchia,Alcino
Cama de Gato,Chico Tenreiro,Paquito
Cama de Gato,Daniel Boaventura,Sólon
Cama de Gato,Dudu Azevedo,Roberto
Cama de Gato,Ed Oliveira,Jair
Cama de Gato,Emanuelle Araújo,Heloísa
Cama de Gato,Guilherme Vieira,Igor
Cama de Gato,Gustavo Maya,Francisco
Cama de Gato,Guta Gonçalves,Débora
Cama de Gato,Heloísa Périssé,Taís
Cama de Gato,Henrique Ramiro,Marco Antônio (Macau)
Cama de Gato,Heslander Vieira,Tarcísio
Cama de Gato,Ilva Niño,Ernestina
Cama de Gato,Isabela Garcia,Mari
Cama de Gato,Jorge Cerruti,Domênico (Vitor Bittencourt)
Cama de Gato,Júlia Mattos,Sandrinha
Cama de Gato,Juliana Paiva,Beth
Cama de Gato,Júlio Levy,Dr. Pitágoras
Cama de Gato,Julyana Garcia,Regina
Cama de Gato,Keff Oliveira,Pedro
Cama de Gato,Letícia Birkheuer,Natasha Werner
Cama de Gato,Luana Martau,Patrícia
Cama de Gato,Luis Gustavo,Waldemar
Cama de Gato,Lupe Gigliotti,Áurea
Cama de Gato,Marcella Rica,Luli
Cama de Gato,Marcella Valente,Suzana
Cama de Gato,Marcello Novaes,Bené
Cama de Gato,Marcelo Portinari,Jorjão
Cama de Gato,Marcos Palmeira,Gustavo Brandão
Cama de Gato,Maurício Machado,Paulo Otávio Barbosa (Pink)
Cama de Gato,Monique Alfradique,Érica
Cama de Gato,Mouhamed Harfouch,Almeida
Cama de Gato,Neusa Maria Faro,Gioconda
Cama de Gato,Nivia Stelmann,Kátia
Cama de Gato,Norma Blum,Irmã Andréia
Cama de Gato,Paolla Oliveira,Verônica
Cama de Gato,Paula Burlamaqui,Sofia
Cama de Gato,Paulo Goulart,Severo
Cama de Gato,Pedro Paulo Rangel,Ferdinando
Cama de Gato,Prazeres Barbosa,Maria
Cama de Gato,Rafael Miguel,Juca
Cama de Gato,Rainer Cadete,Nuno
Cama de Gato,Raquel Fuina,Glória
Cama de Gato,Rodrigo Rangel,Antonio
Cama de Gato,Ronny Kriwat,Pedro
Cama de Gato,Rosi Campos,Genoveva
Cama de Gato,Roumer Canhaes,professor Limonge
Cama de Gato,Selma Lopes,Dirce
Cama de Gato,Suely Franco,Julieta
Cama de Gato,Tânia Costa,Bruna
Cama de Gato,Tony Tornado,Péricles
Cama de Gato,Wagner Molina,Fiasco
Cama de Gato,Walter Breda,delegado Salviano Quintana
Cama de Gato,Yoná Magalhães,Adalgisa
Cambalacho,Angêla Maria,participação especial
Cambalacho,Alcione Mazzeo,participação especial
Cambalacho,Andrea Avancini,Julinha
Cambalacho,Ângela Rabelo,participação especial
Cambalacho,Antônio Carlos,Antunes
Cambalacho,Antônio Pedro,maestro
Cambalacho,Arthur Costa Filho,juiz
Cambalacho,Beth Castro,repórter de televisão
Cambalacho,Berta Loran,participação especial
Cambalacho,Carlos Kroeber,delegado
Cambalacho,Christine Nazareth,Debbie Day
Cambalacho,Cláudia Raia,Maria Antonieta
Cambalacho,Cláudio Corrêa e Castro,Boris
Cambalacho,Cláudio Gaya,Juliano
Cambalacho,Cláudio Marzo,Rogério
Cambalacho,Consuelo Leandro,Lili Bolero
Cambalacho,Cristiane Lopes,Mena
Cambalacho,Cristina Pereira,Daniela
Cambalacho,Daniel Filho,agente da Interpol
Cambalacho,Daniel Marques,Betinho
Cambalacho,Debora Bloch,Ana Machadão
Cambalacho,Duse Nacaratti,Cibele
Cambalacho,Edson Celulari,Thiago
Cambalacho,Emiliano Queiroz,Biju
Cambalacho,Evandro Mesquita,Alcebíades
Cambalacho,Fabio Sabag,Olívio
Cambalacho,Fernanda Montenegro,Naná (Leonarda Furtado)
Cambalacho,Fernando Vannucci,ChiquitoFlávio Galvão
Cambalacho,Gabriela Bicalho,Bepa
Cambalacho,Geraldo del Rey,Carlos Calux
Cambalacho,Gianfrancesco Guarnieri,Gegê (Jerônimo Machado)
Cambalacho,Gilda Cruz,empregada de Antero (Mário Lago) (participação especial)
Cambalacho,Henriqueta Brieba,Ubiratânia
Cambalacho,Inês Galvão,participação especial
Cambalacho,Jaconias Silva,carteiro (participação especial)
Cambalacho,Jacqueline Laurence,Dominique
Cambalacho,Jeanine Moreno,empregada de Antero (Mário Lago) (participação especial)
Cambalacho,Joana Fomm,Joana
Cambalacho,João Rebello,Maneco
Cambalacho,José Sacramento,locutor de rádio Kiko Olivetti
Cambalacho,Leina Krespi,Dedé
Cambalacho,Lícia Magna,participação especial
Cambalacho,Louise Cardoso,Daniela
Cambalacho,Luis Carlos Arutim,delegado
Cambalacho,Luiza Brunet,participação especial
Cambalacho,Luiz Fernando Guimarães,João Pedro (Jean Pierre)
