~id,~label,name
"novela_Cabocla__2_verso","Novela","Cabocla - 2ª versão"
"novela_Cama_de_Gato","Novela","Cama de Gato"
"novela_Cambalacho","Novela","Cambalacho"
"novela_Celebridade","Novela","Celebridade"
"novela_Voltei_Pra_Voc","Novela","Voltei Pra Você"
"novela_Caras__Bocas","Novela","Caras & Bocas"
"novela_Caminho_das_ndias","Novela","Caminho das Índias"
"novela_Champagne","Novela","Champagne"
"novela_Brega__Chique","Novela","Brega & Chique"
"novela_Carinhoso","Novela","Carinhoso"
"novela_Cara__Coroa","Novela","Cara & Coroa"
"novela_Cabocla__1_verso","Novela","Cabocla - 1ª versão"
"novela_Boogie_Oogie","Novela","Boogie Oogie"
"novela_Brilhante","Novela","Brilhante"
"novela_Vu_de_Noiva","Novela","Véu de Noiva"
"novela_ViraLata","Novela","Vira-Lata"
"novela_Viver_a_Vida","Novela","Viver a Vida"
"novela_Zaz","Novela","Zazá"
"novela_Vereda_Tropical","Novela","Vereda Tropical"
"novela_Vida_Nova","Novela","Vida Nova"
"novela_Velho_Chico","Novela","Velho Chico"
"novela_Vejo_a_Lua_no_Cu","Novela","Vejo a Lua no Céu"
"novela_Vila_Madalena","Novela","Vila Madalena"
"novela_Verdades_Secretas","Novela","Verdades Secretas"
"novela_Vamp","Novela","Vamp"
"novela_Bravo","Novela","Bravo!"
"novela_Vero_90","Novela","Verão 90"
"novela_Uga_Uga","Novela","Uga Uga"
"novela_Um_Anjo_Caiu_do_Cu","Novela","Um Anjo Caiu do Céu"
"novela_Vero_Vermelho","Novela","Verão Vermelho"
"novela_Vale_Tudo","Novela","Vale Tudo"
"novela_Trs_Irms","Novela","Três Irmãs"
"novela_Transas_e_Caretas","Novela","Transas e Caretas"
"novela_Uma_Rosa_com_Amor","Novela","Uma Rosa com Amor"
"novela_Um_Sonho_a_Mais","Novela","Um Sonho a Mais"
"novela_Totalmente_Demais","Novela","Totalmente Demais"
"novela_Tieta","Novela","Tieta"
"novela_Torre_de_Babel","Novela","Torre de Babel"
"novela_TiTiTi__1_verso","Novela","Ti-Ti-Ti - 1ª versão"
"novela_Tropicaliente","Novela","Tropicaliente"
"novela_TiTiTi__2_Verso","Novela","Ti-Ti-Ti - 2ª Versão"
"novela_Top_Model","Novela","Top Model"
"novela_Terras_do_Sem_Fim","Novela","Terras do Sem Fim"
"novela_Terra_Nostra","Novela","Terra Nostra"
"novela_Tempo_de_Amar","Novela","Tempo de Amar"
"novela_Sinh_Moa__2_verso","Novela","Sinhá Moça - 2ª versão"
"novela_Sol_de_Vero","Novela","Sol de Verão"
"novela_Sonho_Meu","Novela","Sonho Meu"
"novela_Sinh_Moa__1_verso","Novela","Sinhá Moça - 1ª versão"
"novela_Suave_Veneno","Novela","Suave Veneno"
"novela_Sol_Nascente","Novela","Sol Nascente"
"novela_Senhora_do_Destino","Novela","Senhora do Destino"
"novela_Sinal_de_Alerta","Novela","Sinal de Alerta"
"novela_Sinhazinha_Fl","Novela","Sinhazinha Flô"
"novela_Stimo_Sentido","Novela","Sétimo Sentido"
"novela_Sete_Pecados","Novela","Sete Pecados"
"novela_Selva_de_Pedra__1__verso","Novela","Selva de Pedra - 1 ª versão"
"novela_Segundo_Sol","Novela","Segundo Sol"
"novela_Selva_de_Pedra__2_verso","Novela","Selva de Pedra - 2ª versão"
"novela_Senhora","Novela","Senhora"
"novela_Tempos_Modernos","Novela","Tempos Modernos"
"novela_Sassaricando","Novela","Sassaricando"
"novela_Sem_Leno_Sem_Documento","Novela","Sem Lenço, Sem Documento"
"novela_Sete_Vidas","Novela","Sete Vidas"
"novela_Salve_Jorge","Novela","Salve Jorge"
"novela_Salsa_e_Merengue","Novela","Salsa e Merengue"
"novela_Sangue_e_Areia","Novela","Sangue e Areia"
"novela_Salom","Novela","Salomé"
